city,date,max_temp,min_temp,avg_temp,humidity,precipitation,year
Chennai,2014-01-04,36.2,13.6,24.9,83.9,46.8,2014
Kolkata,2014-01-04,32.7,15.4,24.1,64.3,47.2,2014
Hyderabad,2014-01-04,39.6,21.5,30.5,58.8,18.4,2014
Pune,2014-01-04,36.4,15.2,25.8,61.0,24.1,2014
Ahmedabad,2014-01-04,26.9,5.7,16.3,94.6,2.3,2014
Delhi,2014-01-05,25.4,20.3,22.8,56.7,15.8,2014
Mumbai,2014-01-05,40.4,10.2,25.3,96.7,17.6,2014
Bangalore,2014-01-05,33.2,12.1,22.6,98.2,40.9,2014
Chennai,2014-01-05,37.3,14.4,25.9,67.3,30.8,2014
Kolkata,2014-01-05,30.1,21.0,25.5,92.6,3.7,2014
Hyderabad,2014-01-05,36.4,10.9,23.7,86.3,15.3,2014
Pune,2014-01-05,40.1,10.8,25.4,43.7,35.1,2014
Ahmedabad,2014-01-05,35.3,14.4,24.9,79.1,28.8,2014
Delhi,2014-01-06,31.1,19.0,25.0,49.6,0.2,2014
Mumbai,2014-01-06,43.7,15.7,29.7,55.6,35.7,2014
Bangalore,2014-01-06,38.6,21.4,30.0,46.5,13.1,2014
Chennai,2014-01-06,32.7,19.4,26.1,59.6,16.4,2014
Kolkata,2014-01-06,26.9,16.5,21.7,93.4,1.3,2014
Hyderabad,2014-01-06,26.3,14.1,20.2,77.3,23.4,2014
Pune,2014-01-06,42.3,13.8,28.1,41.4,6.0,2014
Ahmedabad,2014-01-06,36.6,14.9,25.8,91.7,49.8,2014
Delhi,2014-01-07,25.2,22.8,24.0,99.9,15.8,2014
Mumbai,2014-01-07,41.6,8.7,25.1,53.5,48.9,2014
Bangalore,2014-01-07,26.2,11.8,19.0,45.2,12.0,2014
Chennai,2014-01-07,25.7,8.6,17.2,98.1,1.8,2014
Kolkata,2014-01-07,31.6,19.7,25.6,77.5,30.2,2014
Hyderabad,2014-01-07,38.0,13.2,25.6,97.5,46.7,2014
Pune,2014-01-07,34.7,20.5,27.6,85.6,14.6,2014
Ahmedabad,2014-01-07,36.5,19.9,28.2,53.1,11.9,2014
Delhi,2014-01-08,30.1,6.3,18.2,91.8,47.1,2014
Mumbai,2014-01-08,31.7,10.9,21.3,78.3,34.6,2014
Bangalore,2014-01-08,41.9,10.9,26.4,93.0,40.0,2014
Chennai,2014-01-08,31.5,15.8,23.6,83.6,19.9,2014
Kolkata,2014-01-08,27.5,14.9,21.2,84.8,29.6,2014
Hyderabad,2014-01-08,34.6,10.7,22.7,52.0,48.5,2014
Pune,2014-01-08,34.5,7.5,21.0,86.6,34.0,2014
Ahmedabad,2014-01-08,32.0,21.3,26.6,57.2,40.6,2014
Delhi,2014-01-09,44.5,9.8,27.2,86.7,40.5,2014
Mumbai,2014-01-09,35.0,19.4,27.2,64.3,18.5,2014
Bangalore,2014-01-09,26.4,9.6,18.0,86.2,38.4,2014
Chennai,2014-01-09,36.4,15.8,26.1,99.1,10.7,2014
Kolkata,2014-01-09,41.9,21.9,31.9,87.1,46.0,2014
Hyderabad,2014-01-09,39.3,15.8,27.6,99.4,45.1,2014
Pune,2014-01-09,29.6,20.4,25.0,75.4,11.5,2014
Ahmedabad,2014-01-09,38.2,15.2,26.7,64.2,17.1,2014
Delhi,2014-01-10,34.3,24.4,29.3,66.1,35.0,2014
Mumbai,2014-01-10,33.1,6.1,19.6,45.6,2.4,2014
Bangalore,2014-01-10,30.7,7.6,19.2,85.2,8.4,2014
Chennai,2014-01-10,25.6,16.3,21.0,67.4,30.6,2014
Kolkata,2014-01-10,31.2,10.1,20.7,53.2,34.5,2014
Hyderabad,2014-01-10,27.4,14.6,21.0,81.0,1.0,2014
Pune,2014-01-10,38.0,16.6,27.3,42.0,0.5,2014
Ahmedabad,2014-01-10,31.3,15.1,23.2,68.8,17.0,2014
Delhi,2014-01-11,38.5,5.5,22.0,93.6,17.0,2014
Mumbai,2014-01-11,31.2,10.4,20.8,78.5,40.3,2014
Bangalore,2014-01-11,28.1,19.4,23.8,97.0,4.8,2014
Chennai,2014-01-11,42.6,9.3,26.0,71.8,14.2,2014
Kolkata,2014-01-11,35.6,8.6,22.1,52.4,37.6,2014
Hyderabad,2014-01-11,36.5,22.0,29.2,68.5,47.0,2014
Pune,2014-01-11,42.8,10.7,26.7,85.6,30.2,2014
Ahmedabad,2014-01-11,26.8,17.4,22.1,77.7,5.3,2014
Delhi,2014-01-12,27.1,17.2,22.2,99.1,44.0,2014
Mumbai,2014-01-12,30.8,11.4,21.1,78.2,22.2,2014
Bangalore,2014-01-12,28.8,18.7,23.7,95.3,46.9,2014
Chennai,2014-01-12,42.5,5.1,23.8,86.8,18.1,2014
Kolkata,2014-01-12,38.5,5.5,22.0,77.2,14.1,2014
Hyderabad,2014-01-12,27.7,8.2,18.0,55.5,24.2,2014
Pune,2014-01-12,29.6,21.2,25.4,69.2,43.5,2014
Ahmedabad,2014-01-12,33.8,22.3,28.0,62.3,35.9,2014
Delhi,2014-01-13,39.5,7.6,23.6,66.1,6.3,2014
Mumbai,2014-01-13,40.3,23.4,31.8,75.0,35.4,2014
Bangalore,2014-01-13,40.1,21.4,30.7,68.4,9.6,2014
Chennai,2014-01-13,43.7,22.9,33.3,57.8,33.8,2014
Kolkata,2014-01-13,29.2,8.3,18.8,41.4,26.2,2014
Hyderabad,2014-01-13,30.5,13.7,22.1,41.7,28.5,2014
Pune,2014-01-13,42.4,16.0,29.2,80.2,46.8,2014
Ahmedabad,2014-01-13,27.9,13.1,20.5,67.4,11.9,2014
Delhi,2014-01-14,32.8,18.5,25.7,47.3,45.2,2014
Mumbai,2014-01-14,33.5,18.2,25.9,56.4,30.7,2014
Bangalore,2014-01-14,32.6,9.1,20.9,67.2,39.3,2014
Chennai,2014-01-14,32.7,10.2,21.5,79.2,15.4,2014
Kolkata,2014-01-14,26.1,12.0,19.0,53.5,33.3,2014
Hyderabad,2014-01-14,32.6,9.9,21.2,98.3,3.1,2014
Pune,2014-01-14,44.3,20.5,32.4,98.4,48.2,2014
Ahmedabad,2014-01-14,34.2,22.2,28.2,93.6,37.2,2014
Delhi,2014-01-15,31.5,7.6,19.5,70.5,30.0,2014
Mumbai,2014-01-15,27.3,20.1,23.7,84.4,32.9,2014
Bangalore,2014-01-15,26.9,23.5,25.2,50.4,24.2,2014
Chennai,2014-01-15,40.5,10.6,25.6,48.3,17.1,2014
Kolkata,2014-01-15,34.3,5.3,19.8,85.8,18.0,2014
Hyderabad,2014-01-15,34.3,23.5,28.9,97.4,12.8,2014
Pune,2014-01-15,31.5,16.2,23.8,51.0,49.0,2014
Ahmedabad,2014-01-15,42.4,15.6,29.0,48.9,14.0,2014
Delhi,2014-01-16,32.2,12.6,22.4,58.2,38.0,2014
Mumbai,2014-01-16,29.7,12.2,21.0,94.9,15.3,2014
Bangalore,2014-01-16,25.9,7.2,16.6,43.9,2.0,2014
Chennai,2014-01-16,40.4,24.4,32.4,49.1,36.0,2014
Kolkata,2014-01-16,30.6,9.0,19.8,92.8,11.0,2014
Hyderabad,2014-01-16,31.4,13.4,22.4,67.4,11.4,2014
Pune,2014-01-16,34.2,6.6,20.4,65.0,42.9,2014
Ahmedabad,2014-01-16,27.6,7.0,17.3,52.6,32.8,2014
Delhi,2014-01-17,36.1,11.8,23.9,51.9,8.7,2014
Mumbai,2014-01-17,28.2,18.7,23.5,80.8,9.2,2014
Bangalore,2014-01-17,37.6,6.9,22.3,93.9,17.0,2014
Chennai,2014-01-17,35.4,14.1,24.7,70.9,36.9,2014
Kolkata,2014-01-17,28.3,11.6,20.0,59.9,2.5,2014
Hyderabad,2014-01-17,31.7,23.6,27.6,98.2,19.1,2014
Pune,2014-01-17,43.4,11.8,27.6,94.2,17.4,2014
Ahmedabad,2014-01-17,43.3,18.9,31.1,53.1,36.8,2014
Delhi,2014-01-18,36.1,21.6,28.8,88.6,13.8,2014
Mumbai,2014-01-18,37.7,11.8,24.7,40.5,15.8,2014
Bangalore,2014-01-18,40.7,13.5,27.1,80.2,4.2,2014
Chennai,2014-01-18,43.2,9.9,26.5,71.2,29.6,2014
Kolkata,2014-01-18,44.8,8.6,26.7,91.2,37.8,2014
Hyderabad,2014-01-18,41.7,17.3,29.5,61.4,32.9,2014
Pune,2014-01-18,27.6,12.9,20.2,80.1,17.7,2014
Ahmedabad,2014-01-18,34.8,9.9,22.3,87.6,34.4,2014
Delhi,2014-01-19,30.0,20.6,25.3,99.1,42.4,2014
Mumbai,2014-01-19,26.2,22.8,24.5,90.1,5.1,2014
Bangalore,2014-01-19,29.3,14.3,21.8,89.4,32.3,2014
Chennai,2014-01-19,35.6,7.9,21.7,49.2,45.5,2014
Kolkata,2014-01-19,33.9,15.3,24.6,64.5,6.4,2014
Hyderabad,2014-01-19,37.1,21.7,29.4,71.5,14.5,2014
Pune,2014-01-19,27.1,19.5,23.3,84.5,39.4,2014
Ahmedabad,2014-01-19,34.3,7.8,21.0,61.4,49.0,2014
Delhi,2014-01-20,26.3,14.8,20.5,71.3,45.3,2014
Mumbai,2014-01-20,29.8,6.1,17.9,86.2,46.5,2014
Bangalore,2014-01-20,38.8,19.6,29.2,86.0,21.5,2014
Chennai,2014-01-20,28.3,13.2,20.8,42.3,43.6,2014
Kolkata,2014-01-20,29.6,19.2,24.4,42.2,32.3,2014
Hyderabad,2014-01-20,32.8,8.2,20.5,65.7,0.4,2014
Pune,2014-01-20,27.6,17.5,22.5,97.4,16.6,2014
Ahmedabad,2014-01-20,33.8,11.4,22.6,80.5,48.3,2014
Delhi,2014-01-21,33.8,16.6,25.2,89.6,29.0,2014
Mumbai,2014-01-21,31.5,21.2,26.3,69.3,4.9,2014
Bangalore,2014-01-21,42.3,18.5,30.4,43.2,37.0,2014
Chennai,2014-01-21,31.2,24.0,27.6,70.0,15.0,2014
Kolkata,2014-01-21,36.9,8.6,22.8,53.5,40.9,2014
Hyderabad,2014-01-21,39.3,12.6,26.0,45.0,1.6,2014
Pune,2014-01-21,38.5,19.6,29.1,45.9,4.6,2014
Ahmedabad,2014-01-21,36.6,12.0,24.3,45.4,27.8,2014
Delhi,2014-01-22,37.9,5.0,21.5,48.2,30.1,2014
Mumbai,2014-01-22,28.3,18.9,23.6,74.9,40.6,2014
Bangalore,2014-01-22,39.3,11.9,25.6,55.4,17.6,2014
Chennai,2014-01-22,40.4,21.4,30.9,94.5,38.8,2014
Kolkata,2014-01-22,31.6,12.9,22.2,54.3,27.9,2014
Hyderabad,2014-01-22,41.0,17.0,29.0,95.1,10.5,2014
Pune,2014-01-22,44.2,6.2,25.2,81.8,41.3,2014
Ahmedabad,2014-01-22,28.3,23.5,25.9,88.1,10.9,2014
Delhi,2014-01-23,26.2,18.2,22.2,82.6,8.5,2014
Mumbai,2014-01-23,34.1,24.9,29.5,58.1,46.0,2014
Bangalore,2014-01-23,25.8,22.5,24.1,73.2,23.0,2014
Chennai,2014-01-23,42.1,24.5,33.3,99.2,42.9,2014
Kolkata,2014-01-23,32.2,15.3,23.8,74.9,43.7,2014
Hyderabad,2014-01-23,42.1,16.8,29.5,75.8,0.2,2014
Pune,2014-01-23,43.8,22.3,33.0,89.9,30.1,2014
Ahmedabad,2014-01-23,38.2,13.0,25.6,69.7,9.2,2014
Delhi,2014-01-24,40.5,23.5,32.0,46.3,36.3,2014
Mumbai,2014-01-24,28.6,14.9,21.8,60.1,12.1,2014
Bangalore,2014-01-24,42.5,10.6,26.6,72.8,27.6,2014
Chennai,2014-01-24,40.9,7.1,24.0,57.3,24.4,2014
Kolkata,2014-01-24,41.7,9.7,25.7,70.2,9.4,2014
Hyderabad,2014-01-24,42.7,9.2,25.9,66.8,3.8,2014
Pune,2014-01-24,25.7,15.1,20.4,66.1,47.7,2014
Ahmedabad,2014-01-24,37.0,7.2,22.1,51.0,1.0,2014
Delhi,2014-01-25,29.2,17.6,23.4,43.8,0.8,2014
Mumbai,2014-01-25,28.3,22.4,25.4,48.7,46.3,2014
Bangalore,2014-01-25,42.4,12.7,27.6,95.0,22.9,2014
Chennai,2014-01-25,36.9,8.3,22.6,88.2,42.9,2014
Kolkata,2014-01-25,42.2,15.1,28.7,59.7,2.2,2014
Hyderabad,2014-01-25,26.8,20.0,23.4,64.1,5.2,2014
Pune,2014-01-25,31.2,19.8,25.5,50.7,47.2,2014
Ahmedabad,2014-01-25,34.9,12.8,23.9,44.0,4.3,2014
Delhi,2014-01-26,39.4,5.6,22.5,42.7,49.4,2014
Mumbai,2014-01-26,35.9,20.8,28.4,52.9,39.5,2014
Bangalore,2014-01-26,27.2,18.5,22.8,42.9,21.0,2014
Chennai,2014-01-26,28.2,6.0,17.1,96.8,24.2,2014
Kolkata,2014-01-26,27.2,18.0,22.6,44.2,11.7,2014
Hyderabad,2014-01-26,37.9,16.8,27.3,81.9,7.7,2014
Pune,2014-01-26,28.5,5.8,17.1,78.3,6.8,2014
Ahmedabad,2014-01-26,36.7,19.2,28.0,65.4,7.2,2014
Delhi,2014-01-27,39.8,14.9,27.3,84.6,0.3,2014
Mumbai,2014-01-27,35.2,5.8,20.5,98.3,14.1,2014
Bangalore,2014-01-27,39.2,6.7,22.9,76.7,29.7,2014
Chennai,2014-01-27,30.8,15.6,23.2,84.8,19.4,2014
Kolkata,2014-01-27,28.7,8.4,18.5,73.2,14.9,2014
Hyderabad,2014-01-27,35.7,22.2,29.0,77.6,43.9,2014
Pune,2014-01-27,26.2,22.3,24.3,82.7,35.0,2014
Ahmedabad,2014-01-27,31.6,20.4,26.0,87.5,18.0,2014
Delhi,2014-01-28,39.2,7.5,23.3,64.7,15.4,2014
Mumbai,2014-01-28,31.0,22.5,26.7,82.0,27.2,2014
Bangalore,2014-01-28,27.7,6.5,17.1,94.9,13.5,2014
Chennai,2014-01-28,25.7,11.1,18.4,55.9,13.6,2014
Kolkata,2014-01-28,37.2,22.9,30.1,41.6,18.5,2014
Hyderabad,2014-01-28,37.2,13.1,25.2,72.7,1.5,2014
Pune,2014-01-28,33.4,12.2,22.8,83.8,28.3,2014
Ahmedabad,2014-01-28,39.8,5.9,22.8,90.9,15.3,2014
Delhi,2014-01-29,34.6,15.3,25.0,100.0,49.4,2014
Mumbai,2014-01-29,43.2,7.7,25.5,81.9,0.1,2014
Bangalore,2014-01-29,38.1,16.1,27.1,91.0,18.9,2014
Chennai,2014-01-29,30.8,13.1,21.9,54.4,41.1,2014
Kolkata,2014-01-29,31.0,11.0,21.0,50.6,4.4,2014
Hyderabad,2014-01-29,39.3,8.3,23.8,98.0,3.4,2014
Pune,2014-01-29,35.3,5.8,20.5,67.7,16.3,2014
Ahmedabad,2014-01-29,36.3,19.8,28.1,69.3,4.2,2014
Delhi,2014-01-30,39.6,17.1,28.4,74.5,46.4,2014
Mumbai,2014-01-30,38.9,17.5,28.2,93.5,11.7,2014
Bangalore,2014-01-30,27.9,19.8,23.9,64.0,13.0,2014
Chennai,2014-01-30,39.1,12.2,25.6,78.7,11.8,2014
Kolkata,2014-01-30,39.6,18.2,28.9,94.6,34.1,2014
Hyderabad,2014-01-30,33.0,12.9,23.0,91.0,8.1,2014
Pune,2014-01-30,26.3,14.3,20.3,87.6,30.7,2014
Ahmedabad,2014-01-30,35.5,6.2,20.9,69.3,49.1,2014
Delhi,2014-01-31,32.2,11.9,22.1,50.0,17.9,2014
Mumbai,2014-01-31,37.1,23.9,30.5,96.4,22.0,2014
Bangalore,2014-01-31,27.8,12.4,20.1,88.6,1.5,2014
Chennai,2014-01-31,41.3,13.5,27.4,86.6,22.0,2014
Kolkata,2014-01-31,44.5,17.4,31.0,76.3,6.4,2014
Hyderabad,2014-01-31,38.5,22.0,30.2,96.8,24.2,2014
Pune,2014-01-31,35.4,13.0,24.2,56.1,39.0,2014
Ahmedabad,2014-01-31,28.7,14.9,21.8,66.7,36.0,2014
Delhi,2014-02-01,38.7,15.8,27.2,71.0,15.1,2014
Mumbai,2014-02-01,29.9,10.4,20.2,58.1,33.5,2014
Bangalore,2014-02-01,39.3,24.8,32.0,70.5,36.2,2014
Chennai,2014-02-01,29.8,17.4,23.6,57.8,31.6,2014
Kolkata,2014-02-01,40.5,6.4,23.4,94.4,19.5,2014
Hyderabad,2014-02-01,31.2,9.5,20.3,92.0,11.5,2014
Pune,2014-02-01,35.3,6.8,21.0,75.2,33.0,2014
Ahmedabad,2014-02-01,29.9,23.9,26.9,55.2,0.0,2014
Delhi,2014-02-02,37.6,13.9,25.7,59.9,5.7,2014
Mumbai,2014-02-02,43.4,21.2,32.3,70.6,22.7,2014
Bangalore,2014-02-02,25.2,25.0,25.1,63.8,47.3,2014
Chennai,2014-02-02,32.7,10.5,21.6,47.5,35.7,2014
Kolkata,2014-02-02,27.8,19.0,23.4,40.8,5.3,2014
Hyderabad,2014-02-02,38.7,11.3,25.0,73.5,43.4,2014
Pune,2014-02-02,41.8,9.4,25.6,77.5,37.8,2014
Ahmedabad,2014-02-02,27.0,13.9,20.4,81.2,4.0,2014
Delhi,2014-02-03,41.6,11.2,26.4,98.1,16.9,2014
Mumbai,2014-02-03,38.9,5.8,22.3,80.3,9.0,2014
Bangalore,2014-02-03,44.5,11.2,27.8,61.8,15.4,2014
Chennai,2014-02-03,41.3,8.8,25.1,56.3,47.8,2014
Kolkata,2014-02-03,40.4,22.7,31.6,40.4,46.1,2014
Hyderabad,2014-02-03,30.6,18.5,24.5,68.2,40.4,2014
Pune,2014-02-03,26.8,18.6,22.7,76.6,44.6,2014
Ahmedabad,2014-02-03,40.5,6.5,23.5,54.1,2.2,2014
Delhi,2014-02-04,37.5,21.9,29.7,63.2,40.3,2014
Mumbai,2014-02-04,35.6,23.3,29.4,92.9,28.6,2014
Bangalore,2014-02-04,40.9,7.7,24.3,69.9,3.3,2014
Chennai,2014-02-04,39.9,16.2,28.0,65.2,24.0,2014
Kolkata,2014-02-04,43.5,15.5,29.5,46.2,19.8,2014
Hyderabad,2014-02-04,25.1,15.6,20.3,80.6,37.2,2014
Pune,2014-02-04,27.3,5.5,16.4,51.4,42.0,2014
Ahmedabad,2014-02-04,37.1,6.5,21.8,67.6,46.0,2014
Delhi,2014-02-05,32.2,8.4,20.3,66.5,28.7,2014
Mumbai,2014-02-05,42.3,19.3,30.8,63.9,5.2,2014
Bangalore,2014-02-05,29.7,20.9,25.3,73.0,27.2,2014
Chennai,2014-02-05,36.5,16.4,26.5,57.4,31.8,2014
Kolkata,2014-02-05,37.6,15.0,26.3,61.3,27.8,2014
Hyderabad,2014-02-05,35.8,11.5,23.7,64.5,11.7,2014
Pune,2014-02-05,37.0,19.9,28.5,67.8,29.5,2014
Ahmedabad,2014-02-05,38.6,6.4,22.5,86.5,35.8,2014
Delhi,2014-02-06,43.2,24.4,33.8,92.6,9.2,2014
Mumbai,2014-02-06,36.7,9.4,23.1,67.0,27.5,2014
Bangalore,2014-02-06,34.2,23.0,28.6,53.0,24.9,2014
Chennai,2014-02-06,43.3,6.4,24.9,73.1,32.1,2014
Kolkata,2014-02-06,28.9,22.3,25.6,56.3,10.7,2014
Hyderabad,2014-02-06,34.4,10.0,22.2,80.3,23.4,2014
Pune,2014-02-06,30.6,20.9,25.7,43.0,33.4,2014
Ahmedabad,2014-02-06,33.4,21.4,27.4,68.9,9.2,2014
Delhi,2014-02-07,25.4,12.7,19.0,51.4,31.1,2014
Mumbai,2014-02-07,40.8,21.4,31.1,53.9,27.2,2014
Bangalore,2014-02-07,27.0,20.0,23.5,66.5,35.2,2014
Chennai,2014-02-07,32.9,11.7,22.3,71.8,30.4,2014
Kolkata,2014-02-07,37.2,17.2,27.2,71.7,46.3,2014
Hyderabad,2014-02-07,41.8,21.2,31.5,62.2,29.7,2014
Pune,2014-02-07,30.0,18.3,24.2,89.3,12.1,2014
Ahmedabad,2014-02-07,31.3,7.0,19.2,83.8,17.4,2014
Delhi,2014-02-08,37.9,24.6,31.2,86.3,1.0,2014
Mumbai,2014-02-08,32.4,11.2,21.8,41.1,29.6,2014
Bangalore,2014-02-08,44.6,21.3,32.9,65.4,20.0,2014
Chennai,2014-02-08,26.0,23.8,24.9,46.9,46.7,2014
Kolkata,2014-02-08,42.5,8.4,25.5,52.6,41.4,2014
Hyderabad,2014-02-08,38.1,17.4,27.7,77.8,4.7,2014
Pune,2014-02-08,29.3,12.4,20.9,91.3,16.8,2014
Ahmedabad,2014-02-08,31.0,14.9,23.0,54.1,21.5,2014
Delhi,2014-02-09,41.1,7.4,24.2,88.6,35.7,2014
Mumbai,2014-02-09,37.7,18.1,27.9,97.0,29.0,2014
Bangalore,2014-02-09,35.2,5.3,20.2,46.9,0.1,2014
Chennai,2014-02-09,36.5,14.0,25.3,48.6,7.4,2014
Kolkata,2014-02-09,25.2,21.4,23.3,82.3,21.4,2014
Hyderabad,2014-02-09,33.8,14.9,24.4,48.8,10.6,2014
Pune,2014-02-09,32.8,12.9,22.9,52.5,36.1,2014
Ahmedabad,2014-02-09,26.1,6.5,16.3,72.2,21.3,2014
Delhi,2014-02-10,33.4,17.7,25.6,83.8,1.9,2014
Mumbai,2014-02-10,25.5,7.3,16.4,49.2,49.5,2014
Bangalore,2014-02-10,40.1,13.4,26.7,93.7,48.0,2014
Chennai,2014-02-10,38.7,23.7,31.2,96.4,41.0,2014
Kolkata,2014-02-10,26.1,5.1,15.6,83.7,25.5,2014
Hyderabad,2014-02-10,26.2,19.4,22.8,62.3,25.5,2014
Pune,2014-02-10,43.5,15.6,29.6,50.5,36.7,2014
Ahmedabad,2014-02-10,33.9,11.6,22.7,52.2,7.2,2014
Delhi,2014-02-11,41.1,7.1,24.1,76.6,2.3,2014
Mumbai,2014-02-11,31.7,21.5,26.6,69.8,35.7,2014
Bangalore,2014-02-11,36.2,22.9,29.5,66.8,29.4,2014
Chennai,2014-02-11,33.3,12.8,23.1,81.0,44.6,2014
Kolkata,2014-02-11,34.3,20.0,27.1,72.7,21.7,2014
Hyderabad,2014-02-11,30.3,5.7,18.0,46.6,35.3,2014
Pune,2014-02-11,40.2,6.8,23.5,81.8,48.1,2014
Ahmedabad,2014-02-11,28.0,19.8,23.9,47.9,39.6,2014
Delhi,2014-02-12,27.4,20.9,24.1,63.6,42.9,2014
Mumbai,2014-02-12,36.2,20.2,28.2,67.0,26.8,2014
Bangalore,2014-02-12,42.7,5.0,23.9,64.1,43.6,2014
Chennai,2014-02-12,35.9,24.8,30.4,72.5,18.7,2014
Kolkata,2014-02-12,40.0,21.8,30.9,97.6,10.7,2014
Hyderabad,2014-02-12,31.7,5.3,18.5,76.7,40.5,2014
Pune,2014-02-12,40.5,6.7,23.6,44.0,22.2,2014
Ahmedabad,2014-02-12,31.5,15.8,23.6,77.4,29.3,2014
Delhi,2014-02-13,41.3,21.8,31.6,72.7,5.4,2014
Mumbai,2014-02-13,27.9,5.9,16.9,56.0,15.1,2014
Bangalore,2014-02-13,44.5,23.2,33.9,63.1,19.7,2014
Chennai,2014-02-13,44.7,7.2,25.9,44.8,29.7,2014
Kolkata,2014-02-13,39.6,7.8,23.7,94.5,38.3,2014
Hyderabad,2014-02-13,35.1,22.5,28.8,58.4,29.4,2014
Pune,2014-02-13,31.3,24.6,27.9,74.8,10.5,2014
Ahmedabad,2014-02-13,40.2,22.1,31.1,80.4,2.8,2014
Delhi,2014-02-14,42.0,22.3,32.1,46.6,21.8,2014
Mumbai,2014-02-14,38.5,8.6,23.5,88.7,37.4,2014
Bangalore,2014-02-14,36.5,10.9,23.7,95.5,26.8,2014
Chennai,2014-02-14,25.8,16.9,21.3,89.8,4.8,2014
Kolkata,2014-02-14,29.1,18.3,23.7,79.8,30.8,2014
Hyderabad,2014-02-14,40.5,23.2,31.9,49.5,6.8,2014
Pune,2014-02-14,26.1,18.4,22.2,90.9,47.7,2014
Ahmedabad,2014-02-14,37.4,13.8,25.6,92.9,6.7,2014
Delhi,2014-02-15,29.0,17.0,23.0,51.8,15.6,2014
Mumbai,2014-02-15,44.0,10.8,27.4,49.4,44.9,2014
Bangalore,2014-02-15,34.3,14.4,24.3,58.9,29.2,2014
Chennai,2014-02-15,32.4,21.0,26.7,40.7,22.6,2014
Kolkata,2014-02-15,31.9,18.1,25.0,86.7,10.4,2014
Hyderabad,2014-02-15,43.7,15.2,29.4,64.3,10.2,2014
Pune,2014-02-15,34.6,14.1,24.3,76.0,10.1,2014
Ahmedabad,2014-02-15,43.5,7.4,25.4,72.7,20.6,2014
Delhi,2014-02-16,40.8,21.4,31.1,81.8,20.8,2014
Mumbai,2014-02-16,32.5,14.3,23.4,65.1,26.0,2014
Bangalore,2014-02-16,31.1,12.3,21.7,63.9,43.4,2014
Chennai,2014-02-16,42.5,14.5,28.5,96.3,19.7,2014
Kolkata,2014-02-16,29.9,22.2,26.0,96.0,30.7,2014
Hyderabad,2014-02-16,37.5,15.1,26.3,48.7,16.8,2014
Pune,2014-02-16,35.0,23.2,29.1,40.7,11.4,2014
Ahmedabad,2014-02-16,44.8,23.0,33.9,69.6,43.6,2014
Delhi,2014-02-17,37.4,22.9,30.1,53.7,2.3,2014
Mumbai,2014-02-17,25.4,17.3,21.4,94.6,29.1,2014
Bangalore,2014-02-17,37.5,10.3,23.9,44.4,14.7,2014
Chennai,2014-02-17,36.2,17.2,26.7,57.6,0.8,2014
Kolkata,2014-02-17,35.7,8.3,22.0,61.9,26.1,2014
Hyderabad,2014-02-17,26.6,9.3,18.0,58.5,42.9,2014
Pune,2014-02-17,41.3,23.9,32.6,74.9,5.6,2014
Ahmedabad,2014-02-17,44.5,15.6,30.1,91.3,11.1,2014
Delhi,2014-02-18,36.3,23.4,29.9,43.9,37.3,2014
Mumbai,2014-02-18,39.9,18.6,29.2,95.7,14.3,2014
Bangalore,2014-02-18,30.4,20.5,25.5,77.0,40.7,2014
Chennai,2014-02-18,31.3,11.1,21.2,73.3,21.3,2014
